StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q20,Q21,Q16,Q22,Q18,Q3_1,Q3_2,Q3_3,Q3_4,Q24_1,Q24_2,Q24_3,Q24_4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q19,Q8,gender,age,Q24,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I am age 18 or older.,I have read and understand the information above.,I want to participate in this research and continue with the survey.,"How
big would the discount need to be for you to subscribe to the membership
program (in USD, no percentage)?

USD:","How
big would the discount need to be for you to subscribe to the membership
program (in USD, no percentage)?

USD:",How likely is it that you would enter a fake email address to subscribe to the program?,"How likely do you think it is that the store will use your email address to: - Inform you of the company novelties, promotions and products",How likely do you think it is that the store will use your email address to: - Ask for your participation in customer satisfaction surveys,How likely do you think it is that the store will use your email address to: - Share it with third parties for commercial purposes (e.g. to send you ads about their products),How likely do you think it is that the store will use your email address to: - Share it with third parties for non-commercial purposes (e.g. for including you in research studies),"How annoyed would you be if the store used your email address to: - Inform you of the company novelties, promotions and products",How annoyed would you be if the store used your email address to: - Ask for your participation in customer satisfaction surveys,How annoyed would you be if the store used your email address to: - Share it with third parties for commercial purposes (e.g. to send you ads about their products),How annoyed would you be if the store used your email address to: - Share it with third parties for non-commercial purposes (e.g. for including you in research studies),How much control do you think you have over the treatment of information you have disclosed to this store?,"If the store would ask for the following information as a requirement to subscribe to the membership benefits program, how reasonable do you think this would be? - Full name","If the store would ask for the following information as a requirement to subscribe to the membership benefits program, how reasonable do you think this would be? - E-mail address","If the store would ask for the following information as a requirement to subscribe to the membership benefits program, how reasonable do you think this would be? - Zip code","If the store would ask for the following information as a requirement to subscribe to the membership benefits program, how reasonable do you think this would be? - Full address","If the store would ask for the following information as a requirement to subscribe to the membership benefits program, how reasonable do you think this would be? - Identity card/Passport number","If the store would ask for the following information as a requirement to subscribe to the membership benefits program, how reasonable do you think this would be? - Phone number","If the store would ask for the following information as a requirement to subscribe to the membership benefits program, how reasonable do you think this would be? - Monthly income","If the store would ask for the following information as a requirement to subscribe to the membership benefits program, how reasonable do you think this would be? - Ethnicity","If the store would ask for the following information as a requirement to subscribe to the membership benefits program, how reasonable do you think this would be? - Gender","How
comfortable would you feel sharing the following information with the store to subscribe
to the membership benefits program? - Full name","How
comfortable would you feel sharing the following information with the store to subscribe
to the membership benefits program? - E-mail address","How
comfortable would you feel sharing the following information with the store to subscribe
to the membership benefits program? - Zip code","How
comfortable would you feel sharing the following information with the store to subscribe
to the membership benefits program? - Full address","How
comfortable would you feel sharing the following information with the store to subscribe
to the membership benefits program? - Identity card/Passport number","How
comfortable would you feel sharing the following information with the store to subscribe
to the membership benefits program? - Phone number","How
comfortable would you feel sharing the following information with the store to subscribe
to the membership benefits program? - Monthly income","How
comfortable would you feel sharing the following information with the store to subscribe
to the membership benefits program? - Ethnicity","How
comfortable would you feel sharing the following information with the store to subscribe
to the membership benefits program? - Gender","This is a paragraph that we want you to read. If you read this paragraph you will be able to select the correct answer to the following question below. We included this paragraph to make sure that everyone is paying attention. Please show that you are paying attention to this study by selecting ""somewhat flexible"".","How
comfortable do you feel about the idea of your personal information being used as a form of “payment”
to a company in exchange for you to be able to use their services?",Which is your gender?,Which is your age? (in years),"END OF SESSION

 




  

 



>



 

 

Thank you very much for your participation!

 

 

 

 

For comments or remarks on the survey, please use the space provided below:",Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID16""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID27""}","{""ImportId"":""QID14""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""Condition""}"
2020-07-30 07:13:31,2020-07-30 07:13:50,IP Address,,100,18,True,2020-07-30 07:13:50,R_3G2IbSgxPL60bJi,,,,,,,anonymous,EN,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-30 07:13:24,2020-07-30 07:15:07,IP Address,,100,102,True,2020-07-30 07:15:07,R_2zoRrsySq5uBXvo,,,,,,,anonymous,EN,Yes,Yes,Yes,,100,Very likely7,"Very likely
7","Very likely
7","Very likely
7","Very likely
7","Very annoyed
7","Very annoyed
7","Very annoyed
7","Very annoyed
7","No control at all
1",Not at all reasonable1,Not at all reasonable1,Very reasonable7,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,"Not  at all comfortable
1","Not  at all comfortable
1","Very comfortable
7","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1","Very comfortable
7",Somewhat flexible,"Not at all comfortable 
1",Male,60,,2
2020-07-30 07:13:27,2020-07-30 07:15:16,IP Address,,100,108,True,2020-07-30 07:15:16,R_3mdvC9rr7CHX1Q9,,,,,,,anonymous,EN,Yes,Yes,Yes,,5,5,5,6,5,5,5,6,5,6,5,Very reasonable7,6,5,6,Very reasonable7,6,6,6,6,6,6,5,6,6,5,6,"Very comfortable
7","Very comfortable
7",Somewhat flexible,5,Male,30,,2
2020-07-30 07:13:33,2020-07-30 07:15:18,IP Address,,100,104,True,2020-07-30 07:15:18,R_3oziFrhD6gXTjdU,,,,,,,anonymous,EN,Yes,Yes,Yes,20,,Very likely7,"Very likely
7","Very likely
7","Very likely
7",4,"Very annoyed
7","Very annoyed
7","Very annoyed
7","Very annoyed
7","No control at all
1",Very reasonable7,Very reasonable7,4,Not at all reasonable1,Not at all reasonable1,4,Not at all reasonable1,Not at all reasonable1,Not at all reasonable1,"Very comfortable
7","Very comfortable
7",4,"Not  at all comfortable
1","Not  at all comfortable
1",4,"Not  at all comfortable
1","Not  at all comfortable
1","Not  at all comfortable
1",Somewhat flexible,"Not at all comfortable 
1",Female,28,,1
2020-07-30 07:13:34,2020-07-30 07:15:22,IP Address,,100,107,True,2020-07-30 07:15:22,R_XLKFcTXIa3Mkrap,,,,,,,anonymous,EN,Yes,Yes,Yes,200,,5,6,6,4,5,6,6,4,5,6,4,6,6,5,6,5,Very reasonable7,5,4,6,6,"Very comfortable
7",4,6,6,5,6,5,Somewhat flexible,6,Male,29,,1
2020-07-30 07:13:47,2020-07-30 07:15:28,IP Address,,100,100,True,2020-07-30 07:15:28,R_pzwu9bRvyOFg2U9,,,,,,,anonymous,EN,Yes,Yes,Yes,,3,Very likely7,"Very likely
7",6,5,6,5,6,6,"Very annoyed
7","Very much control
7",Very reasonable7,6,Very reasonable7,6,Very reasonable7,6,5,6,5,6,6,5,"Very comfortable
7","Very comfortable
7",6,5,6,6,Somewhat flexible,6,Female,34,,2
2020-07-30 07:13:24,2020-07-30 07:15:31,IP Address,,100,126,True,2020-07-30 07:15:31,R_33pgds7P93XcXER,,,,,,,anonymous,EN,Yes,Yes,Yes,,45,3,6,5,5,4,2,2,4,3,4,4,5,5,2,Not at all reasonable1,4,3,Not at all reasonable1,3,2,4,5,2,"Not  at all comfortable
1",2,"Not  at all comfortable
1",3,3,Somewhat flexible,5,Male,33,,2
2020-07-30 07:14:11,2020-07-30 07:15:37,IP Address,,100,85,True,2020-07-30 07:15:37,R_2toqYJYOzMNDrqN,,,,,,,anonymous,EN,Yes,Yes,Yes,50,,Very likely7,6,4,"Very likely
7",5,"Very annoyed
7",6,4,5,6,5,4,5,6,6,5,6,5,Very reasonable7,6,5,5,5,"Very comfortable
7",4,6,4,6,Somewhat flexible,"Very comfortable
7",Male,18,,1
